tab 	sites
age	age_sigma	age_unit	citations	conglomerate_test	contact_test	criteria	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
2.08	0.48	Ma	This study	ND	ND	DE-SITE	VGP: Site sv08, Site VGP.	4.9	165.7	-46.1	151.1	7					6.9603	0			35.17		San Francisco Volcanics	247.77	DE-DI:DE-FM:DE-BFL:LP-DC5		i	sv08	sv08b1 : sv08c1 : sv08d1 : sv08e1 : sv08g1 : sv08h1:sv08a1	5.8	4.9	-75.6	309.4	7
1.14	0.17	Ma	This study																Igneous	Lava Flow	35.442	Basalt	San Francisco Volcanics	248.081	FS-LOC-GPS:SO-SM:FS-FD			sv09						
1.14	0.17	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	10.3	250	-67.7	80.7	4	4	0		r	3.9628	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv09	sv09f1 : sv09i1 : sv09j1:sv09e1					
0.44	0.18	Ma	This study																Igneous	Lava Flow	35.2631	Basalt	San Francisco Volcanics	248.173	FS-LOC-GPS:SO-SM:FS-FD			sv10						
0.44	0.18	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	13.9	188.9	-47.3	65.1	5	0	5		r	4.977	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv10	sv10c1 : sv10f1 : sv10g1 : sv10j1:sv10a1					
1.29	0.15	Ma	This study																Igneous	Lava Flow	35.263	Basalt	San Francisco Volcanics	248.174	FS-LOC-GPS:SO-SM:FS-FD			sv11						
1.29	0.15	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	10	193.6	-43.2	115.6	4	2	2		r	3.9827	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv11	sv11b1 : sv11k1 : sv11n1:sv11a1					
0.34	0.21	Ma	This study																Igneous	Lava Flow	35.334	Basalt	San Francisco Volcanics	248.156	FS-LOC-GPS:SO-SM:FS-FD			sv12						
			This study																Igneous	Lava Flow	35.323	Basalt	San Francisco Volcanics	248.285	FS-LOC-GPS:SO-SM:FS-FD			sv13						
0.33	0.08	Ma	This study																Igneous	Lava Flow	35.249	Basalt	San Francisco Volcanics	248.31	FS-LOC-GPS:SO-SM:FS-FD			sv15						
