tab 	samples
azimuth	citations	criteria	description	dip	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	orientation_quality	result_quality	sample	site	specimens
348	This study			-83									Igneous	Lava Flow	35.375	Basalt	248.269	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv03d	sv03	
	This study		sample direction.		3.9	-33.5	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:LP-DIR-AF			sv03d	sv03	sv03d1
357	This study			-83									Igneous	Lava Flow	35.375	Basalt	248.269	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv03e	sv03	
	This study		sample direction.		8.8	-33.8	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:LP-DIR-AF			sv03e	sv03	sv03e1
32.5	This study			-65									Igneous	Lava Flow	35.375	Basalt	248.269	FS-FD:SO-POM:SO-SUN	g		sv03f	sv03	
23	This study			-74									Igneous	Lava Flow	35.375	Basalt	248.269	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv03g	sv03	
	This study	DE-SPEC	sample direction.		352.8	52.2	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv03g	sv03	sv03g1
10.3	This study			-67									Igneous	Lava Flow	35.375	Basalt	248.269	FS-FD:SO-POM:SO-SUN	g		sv03h	sv03	
	This study	DE-SPEC	sample direction.		349.1	55.5	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF			sv03h	sv03	sv03h1
1.7	This study			-84									Igneous	Lava Flow	35.375	Basalt	248.269	FS-FD:SO-POM:SO-SUN	g		sv03i	sv03	
	This study	DE-SPEC	sample direction.		353.2	57.3	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF			sv03i	sv03	sv03i1
348	This study			-78									Igneous	Lava Flow	35.375	Basalt	248.269	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv03j	sv03	
	This study	DE-SPEC	sample direction.		324.1	44.6	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv03j	sv03	sv03j1
11	This study			-59									Igneous	Lava Flow	35.39	Basalt	248.26	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv04a	sv04	
	This study	DE-SPEC	sample direction.		348.3	50.2	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv04a	sv04	sv04a1
65	This study			-40.5									Igneous	Lava Flow	35.39	Basalt	248.26	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv04b	sv04	
	This study	DE-SPEC	sample direction.		353	46.6	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv04b	sv04	sv04b1
31	This study			-36									Igneous	Lava Flow	35.39	Basalt	248.26	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv04c	sv04	
2	This study			-66									Igneous	Lava Flow	35.39	Basalt	248.26	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv04d	sv04	
	This study	DE-SPEC	sample direction.		342.6	48.7	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv04d	sv04	sv04d1
6	This study			-61									Igneous	Lava Flow	35.39	Basalt	248.26	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv04e	sv04	
	This study	DE-SPEC	sample direction.		342.2	56.9	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv04e	sv04	sv04e1
52	This study			-54									Igneous	Lava Flow	35.39	Basalt	248.26	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv04f	sv04	
20	This study			-52									Igneous	Lava Flow	35.39	Basalt	248.26	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv04g	sv04	
94	This study			-43									Igneous	Lava Flow	35.39	Basalt	248.26	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv04h	sv04	
17	This study			-39									Igneous	Lava Flow	35.39	Basalt	248.26	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv04i	sv04	
	This study	DE-SPEC	sample direction.		347.4	50.6	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv04i	sv04	sv04i1
23	This study			-82									Igneous	Lava Flow	35.39	Basalt	248.26	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv04j	sv04	
