tab 	specimens
citations	description	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study										Igneous	Lava Flow		Basalt						sv19c	sv19c2
This study										Igneous	Lava Flow		Basalt						sv19g	sv19g1
This study	Recalculated from original measurements; supercedes published results.	42.8	-7.6	16.5	13			0	LP-DIR-AF:sv19g3	Igneous	Lava Flow		Basalt	373	0.03	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-SUN:DE-BFP:LP-DIR-AF		sv19g	sv19g3
This study	Recalculated from original measurements; supercedes published results.	355.8	42.6	1.5	12			0	LP-DIR-AF:sv20c1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv20c	sv20c1
This study										Igneous	Lava Flow		Basalt						sv20c	sv20c2
This study										Igneous	Lava Flow		Basalt						sv20e	sv20e1
This study										Igneous	Lava Flow		Basalt						sv20e	sv20e3
This study	Recalculated from original measurements; supercedes published results.	76.7	-4.3	1.7	7			0	LP-DIR-AF:sv21g1	Igneous	Lava Flow		Basalt	0.08	0.02	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN:DE-BFL:LP-DIR-AF		sv21g	sv21g1
This study										Igneous	Lava Flow		Basalt						sv21g	sv21g2
This study	Recalculated from original measurements; supercedes published results.	132.2	-0.9	1.5	11			0	LP-DIR-AF:sv21i1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv21i	sv21i1
This study	Recalculated from original measurements; supercedes published results.	111.7	-6.9	22.2	23			0	LP-DIR-AF:sv22b1	Igneous	Lava Flow		Basalt	873	0.04	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN:DE-BFL:LP-DIR-AF		sv22b	sv22b1
This study										Igneous	Lava Flow		Basalt						sv22b	sv22b2
This study	Recalculated from original measurements; supercedes published results.	263.2	-2.7	4.9	8			0	LP-DIR-AF:sv22c1	Igneous	Lava Flow		Basalt	0.14	0.04	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv22c	sv22c1
This study										Igneous	Lava Flow		Basalt						sv22c	sv22c2
This study										Igneous	Lava Flow		Basalt						sv22e	sv22e1
This study	Recalculated from original measurements; supercedes published results.	20.6	28.7	0.9	10			0	LP-DIR-AF:sv23a1	Igneous	Lava Flow		Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv23a	sv23a1
This study	Recalculated from original measurements; supercedes published results.	17	29.3	1.5	7			0	LP-DIR-AF:sv23b1	Igneous	Lava Flow		Basalt	0.15	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv23b	sv23b1
This study	Recalculated from original measurements; supercedes published results.	263.1	32.9	11.4	14			0	LP-DIR-AF:sv23c1	Igneous	Lava Flow		Basalt	373	0.02	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-SUN:DE-BFP:LP-DIR-AF		sv23c	sv23c1
This study										Igneous	Lava Flow		Basalt						sv23c	sv23c2
This study										Igneous	Lava Flow		Basalt						sv23d	sv23d1
This study										Igneous	Lava Flow		Basalt						sv23e	sv23e1
This study										Igneous	Lava Flow		Basalt						sv23e	sv23e2
This study	Recalculated from original measurements; supercedes published results.	18.2	26.7	1.4	11			0	LP-DIR-AF:sv23f1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv23f	sv23f1
This study	Recalculated from original measurements; supercedes published results.	25.1	29	1.7	11			0	LP-DIR-AF:sv23g1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv23g	sv23g1
This study	Recalculated from original measurements; supercedes published results.	343	63.4	1.3	7			0	LP-DIR-AF:sv24b1	Igneous	Lava Flow		Basalt	0.1	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv24b	sv24b1
This study	Recalculated from original measurements; supercedes published results.	356.8	58.6	0.9	7			0	LP-DIR-AF:sv24c1	Igneous	Lava Flow		Basalt	0.15	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv24c	sv24c1
This study	Recalculated from original measurements; supercedes published results.	353.7	64.1	1.2	13			0	LP-DIR-AF:sv24d1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv24d	sv24d1
This study										Igneous	Lava Flow		Basalt						sv24d	sv24d2
This study										Igneous	Lava Flow		Basalt						sv24f	sv24f3
This study	Recalculated from original measurements; supercedes published results.	317.5	63.2	0.5	13			0	LP-DIR-AF:sv24g1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv24g	sv24g1
This study	Recalculated from original measurements; supercedes published results.	348.8	63.6	0.6	13			0	LP-DIR-AF:sv24h1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv24h	sv24h1
This study	Recalculated from original measurements; supercedes published results.	335.1	62.7	0.8	13			0	LP-DIR-AF:sv24i1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv24i	sv24i1
This study	Recalculated from original measurements; supercedes published results.	315.9	64.1	2.5	12			0	LP-DIR-AF:sv24j1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv24j	sv24j1
This study										Igneous	Lava Flow		Basalt						sv24j	sv24j2
This study										Igneous	Lava Flow		Basalt						sv25i	sv25i1
This study										Igneous	Lava Flow		Basalt						sv25i	sv25i2
This study	Recalculated from original measurements; supercedes published results.	274.6	36.6	4.1	6			0	LP-DIR-AF:sv25j1	Igneous	Lava Flow		Basalt	0.16	0.07	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv25j	sv25j1
This study										Igneous	Lava Flow		Basalt						sv25j	sv25j2
This study	Recalculated from original measurements; supercedes published results.	174.6	25.8	5.3	11			0	LP-DIR-AF:sv26d1	Igneous	Lava Flow		Basalt	0.12	0	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv26d	sv26d1
This study										Igneous	Lava Flow		Basalt						sv26d	sv26d2
This study										Igneous	Lava Flow		Basalt						sv26e	sv26e1
This study										Igneous	Lava Flow		Basalt						sv26f	sv26f1
This study	Recalculated from original measurements; supercedes published results.	167.9	-62.8	4.4	12			0	LP-DIR-AF:sv26g1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv26g	sv26g1
This study	Recalculated from original measurements; supercedes published results.	150.7	-71.5	2.5	6			0	LP-DIR-AF:sv26h2	Igneous	Lava Flow		Basalt	0.1	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv26h	sv26h2
This study	Recalculated from original measurements; supercedes published results.	137.9	-66.4	2.8	11			0	LP-DIR-AF:sv26i1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv26i	sv26i1
This study										Igneous	Lava Flow		Basalt						sv26j	sv26j1
This study	Recalculated from original measurements; supercedes published results.	131.3	14.7	2.2	13			0	LP-DIR-AF:sv26k1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv26k	sv26k1
This study										Igneous	Lava Flow		Basalt						sv26k	sv26k2
This study	Recalculated from original measurements; supercedes published results.	173.8	-75.3	4.8	4			0	LP-DIR-AF:sv26l1	Igneous	Lava Flow		Basalt	0.18	0.1	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv26l	sv26l1
This study	Recalculated from original measurements; supercedes published results.	359.1	56.2	1.1	13			0	LP-DIR-AF:sv27a1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv27a	sv27a1
This study	Recalculated from original measurements; supercedes published results.	343.4	56.7	0.9	12			0	LP-DIR-AF:sv27c1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv27c	sv27c1
This study	Recalculated from original measurements; supercedes published results.	354.4	50.5	1.2	13			0	LP-DIR-AF:sv27d1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv27d	sv27d1
This study	Recalculated from original measurements; supercedes published results.	1.2	58.1	3.3	13			0	LP-DIR-AF:sv27j1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv27j	sv27j1
This study										Igneous	Lava Flow		Basalt						sv27j	sv27j2
This study	Recalculated from original measurements; supercedes published results.	41.8	-22.6	4.2	14			0	LP-DIR-AF:sv27l1	Igneous	Lava Flow		Basalt	0.18	0	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv27l	sv27l1
This study										Igneous	Lava Flow		Basalt						sv27l	sv27l2
This study										Igneous	Lava Flow		Basalt						sv27m	sv27m1
This study										Igneous	Lava Flow		Basalt						sv28a	sv28a1
This study										Igneous	Lava Flow		Basalt						sv28a	sv28a2
This study	Recalculated from original measurements; supercedes published results.	29.7	11.7	5.2	21			0	LP-DIR-AF:sv28h1	Igneous	Lava Flow		Basalt	773	0.04	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN:DE-BFL:LP-DIR-AF		sv28h	sv28h1
This study										Igneous	Lava Flow		Basalt						sv28h	sv28h2
This study										Igneous	Lava Flow		Basalt						sv29a	sv29a1
This study										Igneous	Lava Flow		Basalt						sv29d	sv29d1
This study										Igneous	Lava Flow		Basalt						sv29d	sv29d2
This study										Igneous	Lava Flow		Basalt						sv29e	sv29e1
This study										Igneous	Lava Flow		Basalt						sv29e	sv29e2
This study										Igneous	Lava Flow		Basalt						sv29g	sv29g1
This study										Igneous	Lava Flow		Basalt						sv30d	sv30d1
This study										Igneous	Lava Flow		Basalt						sv30d	sv30d2
This study										Igneous	Lava Flow		Basalt						sv30g	sv30g1
This study	Recalculated from original measurements; supercedes published results.	180.5	-40.6	4.1	8			0	LP-DIR-AF:sv30h1	Igneous	Lava Flow		Basalt	0.18	0.06	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv30h	sv30h1
This study										Igneous	Lava Flow		Basalt						sv30i	sv30i1
This study	Recalculated from original measurements; supercedes published results.	0.5	-53.9	4	14			0	LP-DIR-AF:sv30i2	Igneous	Lava Flow		Basalt	0.18	0	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv30i	sv30i2
This study										Igneous	Lava Flow		Basalt						sv30j	sv30j1
This study	Recalculated from original measurements; supercedes published results.	5.5	45.3	1.2	13			0	LP-DIR-AF:sv31a1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv31a	sv31a1
This study	Recalculated from original measurements; supercedes published results.	11.9	45.1	0.9	13			0	LP-DIR-AF:sv31b1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv31b	sv31b1
This study	Recalculated from original measurements; supercedes published results.	12.4	43.1	0.8	13			0	LP-DIR-AF:sv31c1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv31c	sv31c1
This study	Recalculated from original measurements; supercedes published results.	17.4	48.2	0.8	10			0	LP-DIR-AF:sv31e2	Igneous	Lava Flow		Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv31e	sv31e2
This study										Igneous	Lava Flow		Basalt						sv31j	sv31j1
This study	Recalculated from original measurements; supercedes published results.	16.6	49.1	1.7	9			0	LP-DIR-AF:sv31k1	Igneous	Lava Flow		Basalt	0.18	0.05	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv31k	sv31k1
This study	Recalculated from original measurements; supercedes published results.	348.3	60.8	1.1	11			0	LP-DIR-AF:sv32a1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv32a	sv32a1
This study	Recalculated from original measurements; supercedes published results.	336.3	62.5	0.5	11			0	LP-DIR-AF:sv32b1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv32b	sv32b1
This study	Recalculated from original measurements; supercedes published results.	339.6	56.4	0.8	11			0	LP-DIR-AF:sv32c1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv32c	sv32c1
This study	Recalculated from original measurements; supercedes published results.	346.4	57.1	1.4	7			0	LP-DIR-AF:sv32d1	Igneous	Lava Flow		Basalt	0.18	0.07	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv32d	sv32d1
This study	Recalculated from original measurements; supercedes published results.	343.7	64.1	0.7	10			0	LP-DIR-AF:sv32e1	Igneous	Lava Flow		Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv32e	sv32e1
This study										Igneous	Lava Flow		Basalt						sv32j	sv32j1
This study										Igneous	Lava Flow		Basalt						sv32j	sv32j2
This study	Recalculated from original measurements; supercedes published results.	309.2	6.6	2	6			0	LP-DIR-AF:sv50a1	Igneous	Lava Flow		Basalt	0.1	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv50a	sv50a1
This study	Recalculated from original measurements; supercedes published results.	224.7	33.3	3.6	7			0	LP-DIR-AF:sv50d3	Igneous	Lava Flow		Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv50d	sv50d3
This study										Igneous	Lava Flow		Basalt						sv50h	sv50h1
This study	Recalculated from original measurements; supercedes published results.	181.2	-42.8	5.3	10			0	LP-DIR-AF:sv50j1	Igneous	Lava Flow		Basalt	0.16	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv50j	sv50j1
This study	Recalculated from original measurements; supercedes published results.	302.1	11.7	0.9	11			0	LP-DIR-AF:sv51a1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv51a	sv51a1
This study	Recalculated from original measurements; supercedes published results.	171.3	-38.1	1	9			0	LP-DIR-AF:sv51e1	Igneous	Lava Flow		Basalt	0.14	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv51e	sv51e1
This study										Igneous	Lava Flow		Basalt						sv51f	sv51f1
This study	Recalculated from original measurements; supercedes published results.	187.5	-40.3	0.7	8			0	LP-DIR-AF:sv51j1	Igneous	Lava Flow		Basalt	0.12	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv51j	sv51j1
This study	Recalculated from original measurements; supercedes published results.	188.3	-37.1	1.1	9			0	LP-DIR-AF:sv51k2	Igneous	Lava Flow		Basalt	0.14	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv51k	sv51k2
This study	Recalculated from original measurements; supercedes published results.	174	-56.1	1.3	11			0	LP-DIR-AF:sv52a1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv52a	sv52a1
This study										Igneous	Lava Flow		Basalt						sv52b	sv52b1
This study	Recalculated from original measurements; supercedes published results.	187.2	-56.2	1.1	11			0	LP-DIR-AF:sv52c1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv52c	sv52c1
This study	Recalculated from original measurements; supercedes published results.	192.6	-51.1	5	6			0	LP-DIR-AF:sv52g1	Igneous	Lava Flow		Basalt	0.1	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv52g	sv52g1
This study	Recalculated from original measurements; supercedes published results.	175.9	-55	1.3	10			0	LP-DIR-AF:sv52j1	Igneous	Lava Flow		Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv52j	sv52j1
This study	Recalculated from original measurements; supercedes published results.	171.4	29.9	0.8	9			0	LP-DIR-AF:sv53b1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv53b	sv53b1
This study										Igneous	Lava Flow		Basalt						sv53e	sv53e1
This study										Igneous	Lava Flow		Basalt						sv53g	sv53g1
This study										Igneous	Lava Flow		Basalt						sv53h	sv53h1
This study	Recalculated from original measurements; supercedes published results.	179.1	-49.1	1.3	11			0	LP-DIR-AF:sv53i1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv53i	sv53i1
This study	Recalculated from original measurements; supercedes published results.	186.3	-52.8	3.1	9			0	LP-DIR-AF:sv53j1	Igneous	Lava Flow		Basalt	0.12	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv53j	sv53j1
This study	Recalculated from original measurements; supercedes published results.	175.1	-45.8	1.6	11			0	LP-DIR-AF:sv54c1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv54c	sv54c1
This study	Recalculated from original measurements; supercedes published results.	175.4	-41	4.4	11			0	LP-DIR-AF:sv54d1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv54d	sv54d1
This study										Igneous	Lava Flow		Basalt						sv54g	sv54g2
This study	Recalculated from original measurements; supercedes published results.	167.9	-56.4	1.3	10			0	LP-DIR-AF:sv54h1	Igneous	Lava Flow		Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv54h	sv54h1
This study	Recalculated from original measurements; supercedes published results.	188.5	-28	3.8	5			0	LP-DIR-AF:sv54i1	Igneous	Lava Flow		Basalt	0.12	0.06	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv54i	sv54i1
This study	Recalculated from original measurements; supercedes published results.	160.1	-60.4	1.1	8			0	LP-DIR-AF:sv54k1	Igneous	Lava Flow		Basalt	0.12	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv54k	sv54k1
This study	Recalculated from original measurements; supercedes published results.	181.7	-50.5	0.9	11			0	LP-DIR-AF:sv55a1	Igneous	Lava Flow		Basalt	0.14	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv55a	sv55a1
This study										Igneous	Lava Flow		Basalt						sv55b	sv55b1
This study	Recalculated from original measurements; supercedes published results.	180.3	-43.1	0.6	11			0	LP-DIR-AF:sv55d2	Igneous	Lava Flow		Basalt	0.14	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv55d	sv55d2
This study	Recalculated from original measurements; supercedes published results.	179.4	-42.1	0.7	11			0	LP-DIR-AF:sv55h1	Igneous	Lava Flow		Basalt	0.14	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv55h	sv55h1
This study	Recalculated from original measurements; supercedes published results.	183.7	-44.3	0.7	11			0	LP-DIR-AF:sv55j1	Igneous	Lava Flow		Basalt	0.16	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv55j	sv55j1
This study	Recalculated from original measurements; supercedes published results.	174.9	-59.5	1.2	11			0	LP-DIR-AF:sv56a2	Igneous	Lava Flow		Basalt	0.16	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv56a	sv56a2
This study										Igneous	Lava Flow		Basalt						sv56b	sv56b1
This study	Recalculated from original measurements; supercedes published results.	166.5	-52.1	1	9			0	LP-DIR-AF:sv56c1	Igneous	Lava Flow		Basalt	0.14	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv56c	sv56c1
This study	Recalculated from original measurements; supercedes published results.	167.2	-51.4	1.9	9			0	LP-DIR-AF:sv56d2	Igneous	Lava Flow		Basalt	0.14	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv56d	sv56d2
This study	Recalculated from original measurements; supercedes published results.	193.1	35.2	5.1	11			0	LP-DIR-AF:sv56e1	Igneous	Lava Flow		Basalt	0.12	0	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv56e	sv56e1
This study	Recalculated from original measurements; supercedes published results.	352.7	-26.4	2.6	10			0	LP-DIR-AF:sv56h1	Igneous	Lava Flow		Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv56h	sv56h1
This study	Recalculated from original measurements; supercedes published results.	198	-53.8	1.1	10			0	LP-DIR-AF:sv57a1	Igneous	Lava Flow		Basalt	0.16	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv57a	sv57a1
This study										Igneous	Lava Flow		Basalt						sv57b	sv57b1
This study	Recalculated from original measurements; supercedes published results.	194.9	-54.2	2	10			0	LP-DIR-AF:sv57c1	Igneous	Lava Flow		Basalt	0.16	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv57c	sv57c1
This study	Recalculated from original measurements; supercedes published results.	187.6	-57	3.1	11			0	LP-DIR-AF:sv57d1	Igneous	Lava Flow		Basalt	0.16	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv57d	sv57d1
This study	Recalculated from original measurements; supercedes published results.	203	-14.6	5.4	6			0	LP-DIR-AF:sv57k1	Igneous	Lava Flow		Basalt	0.12	0.05	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv57k	sv57k1
This study	Recalculated from original measurements; supercedes published results.	210.3	-49.6	1.5	11			0	LP-DIR-AF:sv57l2	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv57l	sv57l2
This study	Recalculated from original measurements; supercedes published results.	181.6	-63.7	1	12			0	LP-DIR-AF:sv58a1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv58a	sv58a1
This study										Igneous	Lava Flow		Basalt						sv58b	sv58b1
This study	Recalculated from original measurements; supercedes published results.	176.7	-60	0.5	11			0	LP-DIR-AF:sv58d1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv58d	sv58d1
This study	Recalculated from original measurements; supercedes published results.	182.5	-60	0.5	11			0	LP-DIR-AF:sv58g1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv58g	sv58g1
This study	Recalculated from original measurements; supercedes published results.	188	-65.2	0.7	12			0	LP-DIR-AF:sv58k1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv58k	sv58k1
This study	Recalculated from original measurements; supercedes published results.	181	-51.7	1	11			0	LP-DIR-AF:sv59a1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv59a	sv59a1
This study	Recalculated from original measurements; supercedes published results.	179.6	-53.1	0.8	11			0	LP-DIR-AF:sv59f1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv59f	sv59f1
This study	Recalculated from original measurements; supercedes published results.	178.4	-52	1	11			0	LP-DIR-AF:sv59g1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv59g	sv59g1
This study										Igneous	Lava Flow		Basalt						sv59h	sv59h1
This study	Recalculated from original measurements; supercedes published results.	176.4	-48.3	1.4	12			0	LP-DIR-AF:sv59j1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv59j	sv59j1
This study	Recalculated from original measurements; supercedes published results.	219.1	-21	2.3	7			0	LP-DIR-AF:sv60a1	Igneous	Lava Flow		Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv60a	sv60a1
This study	Recalculated from original measurements; supercedes published results.	179.5	-28.9	0.7	5			0	LP-DIR-AF:sv60c1	Igneous	Lava Flow		Basalt	0.06	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv60c	sv60c1
This study										Igneous	Lava Flow		Basalt						sv60d	sv60d1
This study										Igneous	Lava Flow		Basalt						sv60e	sv60e1
This study										Igneous	Lava Flow		Basalt						sv60g	sv60g1
This study	Recalculated from original measurements; supercedes published results.	163.3	61	1	10			0	LP-DIR-AF:sv61a1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv61a	sv61a1
This study	Recalculated from original measurements; supercedes published results.	264.2	2.6	4.8	9			0	LP-DIR-AF:sv61c1	Igneous	Lava Flow		Basalt	0.08	0	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv61c	sv61c1
This study										Igneous	Lava Flow		Basalt						sv61d	sv61d1
This study										Igneous	Lava Flow		Basalt						sv61e	sv61e1
