tab 	specimens
citations	description	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study										Igneous	Lava Flow		Basalt						sv04c	sv04c1
This study										Igneous	Lava Flow		Basalt						sv04c	sv04c2
This study	Recalculated from original measurements; supercedes published results.	342.6	48.7	2.6	9			0	LP-DIR-AF:sv04d1	Igneous	Lava Flow		Basalt	0.18	0.05	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv04d	sv04d1
This study	Recalculated from original measurements; supercedes published results.	342.2	56.9	1.2	11			0	LP-DIR-AF:sv04e1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv04e	sv04e1
This study										Igneous	Lava Flow		Basalt						sv04f	sv04f1
This study	Recalculated from original measurements; supercedes published results.	347.4	50.6	2.4	5			0	LP-DIR-AF:sv04i1	Igneous	Lava Flow		Basalt	0.15	0.06	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv04i	sv04i1
This study										Igneous	Lava Flow		Basalt						sv04j	sv04j1
This study										Igneous	Lava Flow		Basalt						sv05a	sv05a1
This study	Recalculated from original measurements; supercedes published results.	202.3	31.5	4.9	14			0	LP-DIR-AF:sv05a2	Igneous	Lava Flow		Basalt	423	0.03	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-SUN:DE-BFP:LP-DIR-AF		sv05a	sv05a2
This study	Recalculated from original measurements; supercedes published results.	160	-47.8	1.7	6			0	LP-DIR-AF:sv05b1	Igneous	Lava Flow		Basalt	0.18	0.08	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv05b	sv05b1
This study	Recalculated from original measurements; supercedes published results.	168.4	37.3	3.2	6			0	LP-DIR-AF:sv05c1	Igneous	Lava Flow		Basalt	0.18	0.08	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv05c	sv05c1
This study										Igneous	Lava Flow		Basalt						sv05c	sv05c2
This study	Recalculated from original measurements; supercedes published results.	161.2	-47.4	3.3	5			0	LP-DIR-AF:sv05d2	Igneous	Lava Flow		Basalt	0.18	0.08	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv05d	sv05d2
This study										Igneous	Lava Flow		Basalt						sv05e	sv05e1
This study	Recalculated from original measurements; supercedes published results.	72.5	-2.6	4.4	13			0	LP-DIR-AF:sv05f1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv05f	sv05f1
This study	Recalculated from original measurements; supercedes published results.	172	-44.3	4.3	7			0	LP-DIR-AF:sv05h1	Igneous	Lava Flow		Basalt	0.15	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv05h	sv05h1
This study	Recalculated from original measurements; supercedes published results.	166.6	-54.5	1.5	10			0	LP-DIR-AF:sv05i1	Igneous	Lava Flow		Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv05i	sv05i1
This study	Recalculated from original measurements; supercedes published results.	157.8	-60	2.3	7			0	LP-DIR-AF:sv05j1	Igneous	Lava Flow		Basalt	0.18	0.07	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv05j	sv05j1
This study	Recalculated from original measurements; supercedes published results.	246.5	-31.4	2	14			0	LP-DIR-AF:sv06a1	Igneous	Lava Flow		Basalt	0.18	0	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv06a	sv06a1
This study	Recalculated from original measurements; supercedes published results.	278.3	24.5	3.8	12			0	LP-DIR-AF:sv06c3	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv06c	sv06c3
This study										Igneous	Lava Flow		Basalt						sv06e	sv06e1
This study										Igneous	Lava Flow		Basalt						sv06e	sv06e2
This study	Recalculated from original measurements; supercedes published results.	357.8	-39.1	2.6	10			0	LP-DIR-AF:sv06f1	Igneous	Lava Flow		Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv06f	sv06f1
