tab 	specimens
citations	dir_comp	dir_dec	dir_inc	dir_n_comps	meas_step_max	meas_step_min	meas_step_unit	method_codes	sample	specimen
this study:10.1038/s41586-021-03831-6	Fit 2	89.66557312011719	12.009345054626465	2.0	679.2146214621462	441.27482748274826	K	LP-DIR-T:DE-TROUT	PD012b4	PD012b4
this study:10.1038/s41586-021-03831-6	Fit 1	280.94696044921875	85.29947662353516	2.0	842.6169616961696	782.2329232923292	K	LP-DIR-T:DE-TROUT	PD012b4	PD012b4
this study:10.1038/s41586-021-03831-6	Fit 2	89.13739013671875	0.4237551689147949	2.0	666.5113511351135	326.24932493249327	K	LP-DIR-T:DE-TROUT	PD013b1	PD013b1
this study:10.1038/s41586-021-03831-6	Fit 1	356.5129089355469	84.68138885498047	2.0	851.955895589559	718.3685368536853	K	LP-DIR-T:DE-TROUT	PD013b1	PD013b1
this study:10.1038/s41586-021-03831-6	Fit 2	94.22322845458984	-6.898346424102783	2.0	558.9105910591059	404.963196319632	K	LP-DIR-T:DE-TROUT	PD015c1	PD015c1
this study:10.1038/s41586-021-03831-6	Fit 1	54.15061950683594	87.73738861083984	2.0	852.9419941994199	755.0862086208621	K	LP-DIR-T:DE-TROUT	PD015c1	PD015c1
this study:10.1038/s41586-021-03831-6	Fit 2	108.08309936523438	5.834630966186523	3.0	776.2003200320032	730.2017201720172	K	LP-DIR-T:DE-TROUT	PD033a3	PD033a3
this study:10.1038/s41586-021-03831-6	Fit 1	0.4623147547245025	78.25529479980469	3.0	852.9419941994199	798.3005300530053	K	LP-DIR-T:DE-TROUT	PD033a3	PD033a3
this study:10.1038/s41586-021-03831-6	Fit 2	94.04889678955078	11.696996688842772	3.0	806.8273827382739	585.9412941294129	K	LP-DIR-T:DE-TROUT	PD034a3	PD034a3
this study:10.1038/s41586-021-03831-6	Fit 1	85.09514617919922	71.44622802734375	3.0	852.9419941994199	817.0944094409441	K	LP-DIR-T:DE-TROUT	PD034a3	PD034a3
this study:10.1038/s41586-021-03831-6	Fit 2	89.55326843261719	8.811538696289062	3.0	824.2871287128713	717.5564556455645	K	LP-DIR-T:DE-TROUT	PD035a2	PD035a2
this study:10.1038/s41586-021-03831-6	Fit 1	30.04617691040039	82.11726379394531	3.0	850.7377737773777	826.3753375337534	K	LP-DIR-T:DE-TROUT	PD035a2	PD035a2
this study:10.1038/s41586-021-03831-6	Fit 2	94.29663848876952	4.40628719329834	3.0	818.2545254525453	735.5962596259626	K	LP-DIR-T:DE-TROUT	PD036a1	PD036a1
this study:10.1038/s41586-021-03831-6	Fit 1	334.5098571777344	84.77388763427734	3.0	852.3039303930393	818.8925892589259	K	LP-DIR-T:DE-TROUT	PD036a1	PD036a1
this study:10.1038/s41586-021-03831-6	Fit 2	103.94212341308594	6.379292011260986	3.0	804.971197119712	676.6043604360436	K	LP-DIR-T:DE-TROUT	PD037a4	PD037a4
this study:10.1038/s41586-021-03831-6	Fit 1	358.0345764160156	81.68742370605469	3.0	852.9419941994199	815.8182818281828	K	LP-DIR-T:DE-TROUT	PD037a4	PD037a4
this study:10.1038/s41586-021-03831-6	Fit 2	94.84192657470705	6.4991455078125	3.0	806.6533653365336	675.038203820382	K	LP-DIR-T:DE-TROUT	PD038a1	PD038a1
this study:10.1038/s41586-021-03831-6	Fit 1	160.6897735595703	76.8361587524414	3.0	852.9419941994199	818.8925892589259	K	LP-DIR-T:DE-TROUT	PD038a1	PD038a1
this study:10.1038/s41586-021-03831-6	Fit 2	90.2251434326172	-3.756117105484009	3.0	747.3714371437144	595.5122512251226	K	LP-DIR-T:DE-TROUT	PD049a2	PD049a2
this study:10.1038/s41586-021-03831-6	Fit 1	357.01812744140625	84.40917205810547	3.0	852.7679767976798	785.7132713271327	K	LP-DIR-T:DE-TROUT	PD049a2	PD049a2
this study:10.1038/s41586-021-03831-6	Fit 2	86.8805923461914	-11.247210502624512	3.0	684.4351435143515	572.0199019901991	K	LP-DIR-T:DE-TROUT	PD090a4	PD090a4
this study:10.1038/s41586-021-03831-6	Fit 1	221.83384704589844	87.26219177246094	3.0	852.9419941994199	725.7932793279329	K	LP-DIR-T:DE-TROUT	PD090a4	PD090a4
this study:10.1038/s41586-021-03831-6	Fit 2	82.593017578125	-12.680641174316406	2.0	699.1686168616861	366.9113911391139	K	LP-DIR-T:DE-TROUT	PD096a2	PD096a2
this study:10.1038/s41586-021-03831-6	Fit 1	301.6472473144531	84.885498046875	2.0	852.9419941994199	768.1955195519552	K	LP-DIR-T:DE-TROUT	PD096a2	PD096a2
this study:10.1038/s41586-021-03831-6	Fit 2	100.08894348144533	-16.741445541381836	2.0			K	LP-DIR-T:DE-TROUT	PD098a4	PD098a4
this study:10.1038/s41586-021-03831-6	Fit 1	59.74969100952149	85.09627532958984	2.0	852.9419941994199	694.1221122112211	K	LP-DIR-T:DE-TROUT	PD098a4	PD098a4
this study:10.1038/s41586-021-03831-6	Fit 2	99.2848663330078	7.9988694190979	3.0	814.8901890189019	726.9533953395339	K	LP-DIR-T:DE-TROUT	PD099a3	PD099a3
this study:10.1038/s41586-021-03831-6	Fit 1	87.09061431884766	82.49993133544922	3.0	852.9419941994199	825.1572157215721	K	LP-DIR-T:DE-TROUT	PD099a3	PD099a3
this study:10.1038/s41586-021-03831-6	Fit 2	93.41718292236328	6.5644402503967285	3.0	815.4122412241225	675.2122212221223	K	LP-DIR-T:DE-TROUT	PD099a4	PD099a4
this study:10.1038/s41586-021-03831-6	Fit 1	87.32221221923828	83.56595611572266	3.0	852.9419941994199	828.8115811581158	K	LP-DIR-T:DE-TROUT	PD099a4	PD099a4
this study:10.1038/s41586-021-03831-6	Fit 2	91.3243408203125	0.1263849735260009	3.0			K	LP-DIR-T:DE-TROUT	PD105a3	PD105a3
this study:10.1038/s41586-021-03831-6	Fit 1	285.9684143066406	86.87832641601562	3.0			K	LP-DIR-T:DE-TROUT	PD105a3	PD105a3
this study:10.1038/s41586-021-03831-6	Fit 2	90.79708099365234	0.0480321012437343	3.0	824.3451345134513	729.9116911691169	K	LP-DIR-T:DE-TROUT	PD110a2	PD110a2
this study:10.1038/s41586-021-03831-6	Fit 1	358.8555603027344	83.38090515136719	3.0	852.3039303930393	829.9136913691369	K	LP-DIR-T:DE-TROUT	PD110a2	PD110a2
this study:10.1038/s41586-021-03831-6	Fit 2	97.87571716308594	8.412787437438965	3.0	830.8417841784178	738.2645264526452	K	LP-DIR-T:DE-TROUT	PD111a3	PD111a3
this study:10.1038/s41586-021-03831-6	Fit 1	135.71826171875	82.0757064819336	3.0	852.013901390139	836.8743874387438	K	LP-DIR-T:DE-TROUT	PD111a3	PD111a3
this study:10.1038/s41586-021-03831-6	Fit 2	90.94116973876952	-10.42309284210205	2.0	740.2367236723672	273.0	K	LP-DIR-T:DE-TROUT	PD113e4	PD113e4
this study:10.1038/s41586-021-03831-6	Fit 1	0.024118710309267	88.06902313232422	2.0	847.8374837483748	747.8354835483549	K	LP-DIR-T:DE-TROUT	PD113e4	PD113e4
this study:10.1038/s41586-021-03831-6	Fit 2	94.4528579711914	3.3761961460113525	3.0	810.7717771777178	799.5186518651865	K	LP-DIR-T:DE-TROUT	PD115b3	PD115b3
this study:10.1038/s41586-021-03831-6	Fit 1	62.34324264526367	81.59197235107422	3.0	850.8537853785379	812.5699569956996	K	LP-DIR-T:DE-TROUT	PD115b3	PD115b3
this study:10.1038/s41586-021-03831-6	Fit 2	92.31661987304688	8.003425598144531	2.0	691.5698569856986	273.0	K	LP-DIR-T:DE-TROUT	PD120a1	PD120a1
this study:10.1038/s41586-021-03831-6	Fit 1	37.78665542602539	86.712646484375	2.0	849.8676867686769	703.2870287028702	K	LP-DIR-T:DE-TROUT	PD120a1	PD120a1
this study:10.1038/s41586-021-03831-6	Fit 2	90.1317901611328	3.263796329498291	3.0	790.5857585758575	583.8530853085308	K	LP-DIR-T:DE-TROUT	PD123a2	PD123a2
this study:10.1038/s41586-021-03831-6	Fit 1	4.345452785491943	84.55755615234375	3.0	852.6519651965197	805.4932493249324	K	LP-DIR-T:DE-TROUT	PD123a2	PD123a2
this study:10.1038/s41586-021-03831-6	Fit 2	88.35089874267578	1.474177598953247	3.0	776.6063606360635	683.1590159015902	K	LP-DIR-T:DE-TROUT	PD128b2	PD128b2
this study:10.1038/s41586-021-03831-6	Fit 1	342.65899658203125	86.40359497070312	3.0	852.9419941994199	803.3470347034703	K	LP-DIR-T:DE-TROUT	PD128b2	PD128b2
this study:10.1038/s41586-021-03831-6	Fit 2	92.95780181884766	6.152769565582275	3.0	796.0963096309631	723.3570357035703	K	LP-DIR-T:DE-TROUT	PD129a2	PD129a2
this study:10.1038/s41586-021-03831-6	Fit 1	170.09922790527344	87.75005340576172	3.0	852.9419941994199	810.017701770177	K	LP-DIR-T:DE-TROUT	PD129a2	PD129a2
this study:10.1038/s41586-021-03831-6	Fit 2	90.14644622802734	3.8107094764709473	3.0	791.9778977897789	744.4131413141314	K	LP-DIR-T:DE-TROUT	PD129a3	PD129a3
this study:10.1038/s41586-021-03831-6	Fit 1	200.0523223876953	87.44288635253906	3.0	852.9419941994199	806.1313131313132	K	LP-DIR-T:DE-TROUT	PD129a3	PD129a3
this study:10.1038/s41586-021-03831-6	Fit 2	97.75667572021484	-4.336030006408691	3.0	804.8551855185518	727.3014301430143	K	LP-DIR-T:DE-TROUT	PD130a2	PD130a2
this study:10.1038/s41586-021-03831-6	Fit 1	247.25997924804688	88.35479736328125	3.0	852.5939593959396	818.0805080508051	K	LP-DIR-T:DE-TROUT	PD130a2	PD130a2
