tab 	specimens
citations	dir_comp	dir_dec	dir_inc	dir_n_comps	meas_step_max	meas_step_min	meas_step_unit	method_codes	sample	specimen
this study:10.1038/s41586-021-03831-6	Fit 2	89.29875946044922	4.664424896240234	3.0	813.6140614061406	624.2251225122512	K	LP-DIR-T:DE-TROUT	PD248a2	PD248a2
this study:10.1038/s41586-021-03831-6	Fit 1	307.8625183105469	86.4878158569336	3.0	842.9649964996499	816.3403340334033	K	LP-DIR-T:DE-TROUT	PD248a2	PD248a2
this study:10.1038/s41586-021-03831-6	Fit 2	129.83340454101562	-1.4913612604141235	3.0			K	LP-DIR-T:DE-TROUT	PD271a1	PD271a1
this study:10.1038/s41586-021-03831-6	Fit 1	177.1262664794922	89.72660064697266	3.0	852.1879187918792	831.7118711871187	K	LP-DIR-T:DE-TROUT	PD271a1	PD271a1
this study:10.1038/s41586-021-03831-6	Fit 2	97.1975555419922	12.53103256225586	3.0	801.7228722872287	673.3560356035604	K	LP-DIR-T:DE-TROUT	PD305a5	PD305a5
this study:10.1038/s41586-021-03831-6	Fit 1	72.34872436523438	82.82435607910156	3.0	852.9419941994199	811.8738873887388	K	LP-DIR-T:DE-TROUT	PD305a5	PD305a5
this study:10.1038/s41586-021-03831-6	Fit 2	93.77739715576172	-18.3034610748291	3.0	812.5119511951195	622.6589658965897	K	LP-DIR-T:DE-TROUT	PD308a3	PD308a3
this study:10.1038/s41586-021-03831-6	Fit 1	312.58721923828125	83.27202606201172	3.0	846.1553155315531	820.7487748774878	K	LP-DIR-T:DE-TROUT	PD308a3	PD308a3
this study:10.1038/s41586-021-03831-6	Fit 2	89.78539276123047	0.172127291560173	3.0	812.91799179918	623.1810181018102	K	LP-DIR-T:DE-TROUT	PD310a4	PD310a4
this study:10.1038/s41586-021-03831-6	Fit 1	152.8983612060547	87.3512954711914	3.0	851.6078607860786	828.1155115511551	K	LP-DIR-T:DE-TROUT	PD310a4	PD310a4
this study:10.1038/s41586-021-03831-6	Fit 2	91.2127685546875	13.982621192932127	3.0	830.029702970297	766.8613861386139	K	LP-DIR-T:DE-TROUT	PD320a6	PD320a6
this study:10.1038/s41586-021-03831-6	Fit 1	91.67339324951172	77.40519714355469	3.0	849.9836983698369	830.6677667766777	K	LP-DIR-T:DE-TROUT	PD320a6	PD320a6
this study:10.1038/s41586-021-03831-6	Fit 2	83.63048553466797	11.752874374389648	3.0	809.031603160316	742.2089208920893	K	LP-DIR-T:DE-TROUT	PD321a2	PD321a2
this study:10.1038/s41586-021-03831-6	Fit 1	277.3723449707031	87.097412109375	3.0	849.4036403640364	814.948194819482	K	LP-DIR-T:DE-TROUT	PD321a2	PD321a2
this study:10.1038/s41586-021-03831-6	Fit 2	79.36054229736328	0.3578179776668548	3.0	806.4213421342134	692.3239323932394	K	LP-DIR-T:DE-TROUT	PD327a9	PD327a9
this study:10.1038/s41586-021-03831-6	Fit 1	78.364013671875	89.09669494628906	3.0	845.4592459245924	811.4678467846785	K	LP-DIR-T:DE-TROUT	PD327a9	PD327a9
this study:10.1038/s41586-021-03831-6	Fit 2	81.99410247802734	-15.16865348815918	3.0	793.7180718071808	774.924192419242	K	LP-DIR-T:DE-TROUT	PD328a1	PD328a1
this study:10.1038/s41586-021-03831-6	Fit 1	262.8294677734375	86.76063537597656	3.0	844.937193719372	829.8556855685569	K	LP-DIR-T:DE-TROUT	PD328a1	PD328a1
this study:10.1038/s41586-021-03831-6	Fit 2	85.06380462646484	4.429587841033936	2.0	796.8503850385039	273.0	K	LP-DIR-T:DE-TROUT	PD335a2	PD335a2
this study:10.1038/s41586-021-03831-6	Fit 1	87.00724792480469	87.47725677490234	2.0	849.2876287628762	835.5402540254025	K	LP-DIR-T:DE-TROUT	PD335a2	PD335a2
this study:10.1038/s41586-021-03831-6	Fit 2	87.96913146972656	-4.185121059417725	3.0	801.026802680268	663.03100310031	K	LP-DIR-T:DE-TROUT	PD336a1	PD336a1
this study:10.1038/s41586-021-03831-6	Fit 1	203.4939117431641	79.34876251220703	3.0	846.3873387338733	810.7137713771377	K	LP-DIR-T:DE-TROUT	PD336a1	PD336a1
this study:10.1038/s41586-021-03831-6	Fit 2	81.14451599121094	8.439105987548828	3.0	799.1706170617061	791.6298629862986	K	LP-DIR-T:DE-TROUT	PD387a1	PD387a1
this study:10.1038/s41586-021-03831-6	Fit 1	11.683310508728027	86.75997161865234	3.0	852.9419941994199	808.973597359736	K	LP-DIR-T:DE-TROUT	PD387a1	PD387a1
this study:10.1038/s41586-021-03831-6	Fit 2	85.58235931396484	-8.878835678100586	3.0	814.7161716171618	692.4399439943994	K	LP-DIR-T:DE-TROUT	PD398a3	PD398a3
this study:10.1038/s41586-021-03831-6	Fit 1	131.52987670898438	88.67706298828125	3.0	847.6634663466347	817.2104210421043	K	LP-DIR-T:DE-TROUT	PD398a3	PD398a3
this study:10.1038/s41586-021-03831-6	Fit 2	87.99176025390625	1.9999178647994995	3.0	829.3916391639164	746.095309530953	K	LP-DIR-T:DE-TROUT	PD400a3	PD400a3
this study:10.1038/s41586-021-03831-6	Fit 1	81.39313507080078	83.70848083496094	3.0	845.5172517251725	830.957795779578	K	LP-DIR-T:DE-TROUT	PD400a3	PD400a3
this study:10.1038/s41586-021-03831-6	Fit 2	80.01373291015625	-5.713724136352539	2.0	781.4788478847885	427.06340634063406	K	LP-DIR-T:DE-TROUT	PD125b3	PD125b3
this study:10.1038/s41586-021-03831-6	Fit 1	245.164794921875	87.19760131835938	2.0	850.8537853785379	794.9361936193619	K	LP-DIR-T:DE-TROUT	PD125b3	PD125b3
this study:10.1038/s41586-021-03831-6	Fit 2	79.07491302490234	27.01898193359375	2.0	716.1643164316431	481.994899489949	K	LP-DIR-T:DE-TROUT	PD127a4	PD127a4
this study:10.1038/s41586-021-03831-6	Fit 1	206.0116424560547	88.03257751464844	2.0	851.2598259825983	791.6298629862986	K	LP-DIR-T:DE-TROUT	PD127a4	PD127a4
this study:10.1038/s41586-021-03831-6	Fit 3	319.52740478515625	-4.569186210632324	3.0	714.018101810181	451.5998599859986	K	LP-DIR-T:DE-TROUT	PD033a3	PD033a3
this study:10.1038/s41586-021-03831-6	Fit 3	349.2982482910156	11.164020538330078	3.0	544.3511351135114	273.0	K	LP-DIR-T:DE-TROUT	PD034a3	PD034a3
this study:10.1038/s41586-021-03831-6	Fit 3	354.6474304199219	46.168338775634766	3.0	626.3713371337134	374.2781278127813	K	LP-DIR-T:DE-TROUT	PD035a2	PD035a2
this study:10.1038/s41586-021-03831-6	Fit 3	2.810688734054565	17.50930404663086	3.0	725.5612561256125	298.00050005000503	K	LP-DIR-T:DE-TROUT	PD036a1	PD036a1
this study:10.1038/s41586-021-03831-6	Fit 3	326.8868103027344	-1.0311731100082395	3.0	661.8128812881288	450.14971497149713	K	LP-DIR-T:DE-TROUT	PD037a4	PD037a4
this study:10.1038/s41586-021-03831-6	Fit 3	358.8553466796875	-10.087872505187988	3.0	529.7916791679168	452.4119411941194	K	LP-DIR-T:DE-TROUT	PD038a1	PD038a1
this study:10.1038/s41586-021-03831-6	Fit 3	359.3328552246094	-0.1541427969932556	3.0			K	LP-DIR-T:DE-TROUT	PD049a2	PD049a2
this study:10.1038/s41586-021-03831-6	Fit 3	359.8113098144531	-6.62231969833374	3.0	564.3631363136313	396.7263726372637	K	LP-DIR-T:DE-TROUT	PD090a4	PD090a4
this study:10.1038/s41586-021-03831-6	Fit 3	12.113770484924316	-0.1191005855798721	3.0	683.2170217021702	559.2006200620062	K	LP-DIR-T:DE-TROUT	PD099a3	PD099a3
this study:10.1038/s41586-021-03831-6	Fit 3	359.7933044433594	8.805452346801758	3.0	630.3157315731573	498.3525352535254	K	LP-DIR-T:DE-TROUT	PD099a4	PD099a4
this study:10.1038/s41586-021-03831-6	Fit 3	5.229548454284668	-4.566169261932373	3.0	756.6523652365236	273.0	K	LP-DIR-T:DE-TROUT	PD105a3	PD105a3
this study:10.1038/s41586-021-03831-6	Fit 3	357.8955993652344	-5.268111228942871	3.0	711.3498349834983	306.3533353335333	K	LP-DIR-T:DE-TROUT	PD110a2	PD110a2
this study:10.1038/s41586-021-03831-6	Fit 3	1.1611146926879885	-8.1588716506958	3.0	711.4658465846585	273.0	K	LP-DIR-T:DE-TROUT	PD111a3	PD111a3
this study:10.1038/s41586-021-03831-6	Fit 3	1.2251940965652466	-1.810180306434632	3.0	742.90499049905	273.0	K	LP-DIR-T:DE-TROUT	PD115b3	PD115b3
this study:10.1038/s41586-021-03831-6	Fit 3	356.182861328125	7.164170265197754	3.0	524.3391339133914	355.8322832283228	K	LP-DIR-T:DE-TROUT	PD123a2	PD123a2
this study:10.1038/s41586-021-03831-6	Fit 3	1.958206295967102	-1.0486721992492676	3.0	652.7639763976397	337.8504850485049	K	LP-DIR-T:DE-TROUT	PD128b2	PD128b2
this study:10.1038/s41586-021-03831-6	Fit 3	1.404157280921936	-0.1724438071250915	3.0	721.7908790879087	553.4580458045805	K	LP-DIR-T:DE-TROUT	PD129a2	PD129a2
this study:10.1038/s41586-021-03831-6	Fit 3	2.5309107303619385	-0.7504327893257141	3.0	730.2597259725973	415.4622462246225	K	LP-DIR-T:DE-TROUT	PD129a3	PD129a3
this study:10.1038/s41586-021-03831-6	Fit 3	359.8266296386719	-7.048450469970703	3.0	556.0103010301029	273.0	K	LP-DIR-T:DE-TROUT	PD130a2	PD130a2
this study:10.1038/s41586-021-03831-6	Fit 3	359.4854736328125	-4.441523551940918	3.0	653.6340634063406	278.85858585858585	K	LP-DIR-T:DE-TROUT	PD131a1	PD131a1
this study:10.1038/s41586-021-03831-6	Fit 3	1.463918924331665	-3.668880462646485	3.0	708.3335333533353	292.6639663966397	K	LP-DIR-T:DE-TROUT	PD132a2	PD132a2
this study:10.1038/s41586-021-03831-6	Fit 3	340.8298645019531	12.313509941101074	3.0	725.6772677267727	352.9899989999	K	LP-DIR-T:DE-TROUT	PD133a4	PD133a4
this study:10.1038/s41586-021-03831-6	Fit 3	2.556363821029663	1.0975656509399414	3.0	740.7587758775878	312.26992699269925	K	LP-DIR-T:DE-TROUT	PD135a2	PD135a2
this study:10.1038/s41586-021-03831-6	Fit 3	1.199985384941101	0.4521505832672119	3.0	744.4711471147115	273.0	K	LP-DIR-T:DE-TROUT	PD135g2	PD135g2
this study:10.1038/s41586-021-03831-6	Fit 3	357.5829772949219	-0.8318008780479431	3.0	761.060806080608	465.92729272927295	K	LP-DIR-T:DE-TROUT	PD136b2	PD136b2
this study:10.1038/s41586-021-03831-6	Fit 3	3.639687776565552	-4.590993404388428	3.0	708.3915391539153	273.0	K	LP-DIR-T:DE-TROUT	PD138b2	PD138b2
this study:10.1038/s41586-021-03831-6	Fit 3	3.577442407608032	-1.8609174489974976	3.0	641.8008800880089	273.0	K	LP-DIR-T:DE-TROUT	PD148d1	PD148d1
this study:10.1038/s41586-021-03831-6	Fit 3	3.948496103286743	7.765171051025391	3.0	657.5784578457846	273.0	K	LP-DIR-T:DE-TROUT	PD149a5	PD149a5
this study:10.1038/s41586-021-03831-6	Fit 3	4.762932777404785	20.45710563659668	3.0	684.7251725172517	273.0	K	LP-DIR-T:DE-TROUT	PD150e1	PD150e1
this study:10.1038/s41586-021-03831-6	Fit 3	1.7980464696884155	-1.8669899702072144	3.0	678.4025402540253	445.56725672567256	K	LP-DIR-T:DE-TROUT	PD151a5	PD151a5
this study:10.1038/s41586-021-03831-6	Fit 3	352.9265441894531	2.03156852722168	3.0	649.3996399639964	273.0	K	LP-DIR-T:DE-TROUT	PD152a2	PD152a2
this study:10.1038/s41586-021-03831-6	Fit 3	354.4698181152344	-1.4988528490066528	3.0	636.5803580358036	584.6071607160716	K	LP-DIR-T:DE-TROUT	PD187a3	PD187a3
this study:10.1038/s41586-021-03831-6	Fit 3	7.126213550567627	4.990259647369385	3.0	725.1552155215521	442.7829782978298	K	LP-DIR-T:DE-TROUT	PD189b3	PD189b3
this study:10.1038/s41586-021-03831-6	Fit 3	1.60698401927948	9.606938362121582	3.0	681.4188418841884	435.7642764276428	K	LP-DIR-T:DE-TROUT	PD190a2	PD190a2
this study:10.1038/s41586-021-03831-6	Fit 3	2.4194891452789307	-0.5569559931755066	3.0	717.5564556455645	273.0	K	LP-DIR-T:DE-TROUT	PD194b1	PD194b1
this study:10.1038/s41586-021-03831-6	Fit 3	6.648681640625	12.464761734008787	3.0	673.00800080008	273.0	K	LP-DIR-T:DE-TROUT	PD195b1	PD195b1
this study:10.1038/s41586-021-03831-6	Fit 3	9.25507640838623	-14.340953826904297	3.0	656.8243824382439	518.7705770577057	K	LP-DIR-T:DE-TROUT	PD197a2	PD197a2
this study:10.1038/s41586-021-03831-6	Fit 3	359.04327392578125	-0.9795517921447754	3.0	669.121612161216	385.2412241224122	K	LP-DIR-T:DE-TROUT	PD199a6	PD199a6
this study:10.1038/s41586-021-03831-6	Fit 3	359.8067626953125	-1.7242724895477295	3.0	767.4414441444144	273.0	K	LP-DIR-T:DE-TROUT	PD200c1	PD200c1
this study:10.1038/s41586-021-03831-6	Fit 3	8.436244010925293	-4.084680557250977	3.0	669.7016701670167	273.0	K	LP-DIR-T:DE-TROUT	PD206a1	PD206a1
this study:10.1038/s41586-021-03831-6	Fit 3	355.2597961425781	9.504467964172363	3.0	601.022802280228	273.0	K	LP-DIR-T:DE-TROUT	PD212a3	PD212a3
this study:10.1038/s41586-021-03831-6	Fit 3	12.433281898498535	10.877470970153809	3.0	690.989798979898	487.7954795479548	K	LP-DIR-T:DE-TROUT	PD236a2	PD236a2
this study:10.1038/s41586-021-03831-6	Fit 3	351.8426513671875	16.62948989868164	3.0	588.957595759576	301.4228422842284	K	LP-DIR-T:DE-TROUT	PD240a4	PD240a4
this study:10.1038/s41586-021-03831-6	Fit 3	35.23003387451172	-38.15502166748047	3.0	594.0621062106211	491.97189718971896	K	LP-DIR-T:DE-TROUT	PD242a4	PD242a4
this study:10.1038/s41586-021-03831-6	Fit 3	355.6120910644531	19.40700912475586	3.0	703.4030403040304	389.93969396939696	K	LP-DIR-T:DE-TROUT	PD243b3	PD243b3
this study:10.1038/s41586-021-03831-6	Fit 3	357.37457275390625	13.214706420898438	3.0	728.5775577557756	433.7340734073407	K	LP-DIR-T:DE-TROUT	PD244a7	PD244a7
this study:10.1038/s41586-021-03831-6	Fit 3	358.889892578125	2.049578189849853	3.0	608.2735273527353	274.2181218121812	K	LP-DIR-T:DE-TROUT	PD248a2	PD248a2
this study:10.1038/s41586-021-03831-6	Fit 3	349.6615905761719	-1.4906291961669922	3.0	700.0967096709671	416.5643564356436	K	LP-DIR-T:DE-TROUT	PD271a1	PD271a1
this study:10.1038/s41586-021-03831-6	Fit 3	352.35205078125	1.4758926630020142	3.0	439.8246824682468	273.0	K	LP-DIR-T:DE-TROUT	PD305a5	PD305a5
this study:10.1038/s41586-021-03831-6	Fit 3	6.198669910430908	3.085346221923828	3.0	620.9187918791879	464.2451245124512	K	LP-DIR-T:DE-TROUT	PD308a3	PD308a3
this study:10.1038/s41586-021-03831-6	Fit 3	358.2673645019531	2.8947315216064453	3.0	606.011301130113	273.0	K	LP-DIR-T:DE-TROUT	PD310a4	PD310a4
this study:10.1038/s41586-021-03831-6	Fit 3	6.760099411010742	-1.2285412549972534	3.0	737.2204220422043	365.22922292229225	K	LP-DIR-T:DE-TROUT	PD320a6	PD320a6
this study:10.1038/s41586-021-03831-6	Fit 3	13.022124290466309	9.512585639953612	3.0	733.6820682068208	464.5931593159316	K	LP-DIR-T:DE-TROUT	PD321a2	PD321a2
this study:10.1038/s41586-021-03831-6	Fit 2	84.94541931152344	9.38535213470459	2.0	750.3877387738773	469.6396639663966	K	LP-DIR-T:DE-TROUT	PD323a2	PD323a2
this study:10.1038/s41586-021-03831-6	Fit 1	219.6114501953125	88.36445617675781	2.0	850.5057505750575	760.5387538753876	K	LP-DIR-T:DE-TROUT	PD323a2	PD323a2
this study:10.1038/s41586-021-03831-6	Fit 3	7.275579929351807	-0.1901976466178894	3.0	660.1307130713071	316.968396839684	K	LP-DIR-T:DE-TROUT	PD327a9	PD327a9
this study:10.1038/s41586-021-03831-6	Fit 3	4.541658878326416	-7.320198059082031	3.0	620.7447744774477	273.0	K	LP-DIR-T:DE-TROUT	PD328a1	PD328a1
this study:10.1038/s41586-021-03831-6	Fit 3	6.204207897186279	-3.3141796588897705	3.0	655.2002200220022	273.0	K	LP-DIR-T:DE-TROUT	PD336a1	PD336a1
this study:10.1038/s41586-021-03831-6	Fit 3	11.9381685256958	10.70333480834961	3.0	762.5689568956896	273.0	K	LP-DIR-T:DE-TROUT	PD387a1	PD387a1
this study:10.1038/s41586-021-03831-6	Fit 3	6.391841888427734	-21.624452590942383	3.0	657.1144114411441	273.0	K	LP-DIR-T:DE-TROUT	PD398a3	PD398a3
this study:10.1038/s41586-021-03831-6	Fit 3	6.138510704040527	-33.3892936706543	3.0	703.4030403040304	338.5465546554656	K	LP-DIR-T:DE-TROUT	PD400a3	PD400a3
