tab 	specimens
dir_comp	dir_dec	dir_inc	dir_n_comps	meas_step_max	meas_step_min	meas_step_unit	method_codes	sample	specimen
Fit 2	98.42518615722656	-6.405509948730469	2.0	615.2922292229223	273.0	K	LP-DIR-T:DE-TROUT	PD098a4	PD098a4
Fit 1	314.4734191894531	78.57140350341797	2.0	852.6519651965197	692.6139613961395	K	LP-DIR-T:DE-TROUT	PD098a4	PD098a4
Fit 2	98.42518615722656	-6.405509948730469	2.0	676.8943894389439	566.4513451345135	K	LP-DIR-T:DE-TROUT	PD099a3	PD099a3
Fit 1	314.4734191894531	78.57140350341797	2.0	814.6001600160016	692.7299729972997	K	LP-DIR-T:DE-TROUT	PD099a3	PD099a3
Fit 2	98.42518615722656	-6.405509948730469	2.0	632.2879287928793	514.7681768176817	K	LP-DIR-T:DE-TROUT	PD099a4	PD099a4
Fit 1	314.4734191894531	78.57140350341797	2.0	814.7741774177417	672.6019601960196	K	LP-DIR-T:DE-TROUT	PD099a4	PD099a4
Fit 2	98.42518615722656	-6.405509948730469	2.0	738.032503250325	273.0	K	LP-DIR-T:DE-TROUT	PD105a3	PD105a3
Fit 1	314.4734191894531	78.57140350341797	2.0			K	LP-DIR-T:DE-TROUT	PD105a3	PD105a3
Fit 2	98.42518615722656	-6.405509948730469	2.0	703.8090809080908	302.75697569756977	K	LP-DIR-T:DE-TROUT	PD110a2	PD110a2
Fit 1	314.4734191894531	78.57140350341797	2.0	829.043604360436	724.3431343134314	K	LP-DIR-T:DE-TROUT	PD110a2	PD110a2
Fit 2	98.42518615722656	-6.405509948730469	2.0	711.3498349834983	273.0	K	LP-DIR-T:DE-TROUT	PD111a3	PD111a3
Fit 1	314.4734191894531	78.57140350341797	2.0	830.8417841784178	738.4385438543854	K	LP-DIR-T:DE-TROUT	PD111a3	PD111a3
Fit 2	98.42518615722656	-6.405509948730469	2.0	739.2506250625063	273.0	K	LP-DIR-T:DE-TROUT	PD113e4	PD113e4
Fit 1	314.4734191894531	78.57140350341797	2.0	847.7794779477948	748.6475647564756	K	LP-DIR-T:DE-TROUT	PD113e4	PD113e4
Fit 2	98.42518615722656	-6.405509948730469	2.0	734.2621262126213	273.0	K	LP-DIR-T:DE-TROUT	PD115b3	PD115b3
Fit 1	314.4734191894531	78.57140350341797	2.0	811.0618061806181	791.919891989199	K	LP-DIR-T:DE-TROUT	PD115b3	PD115b3
Fit 2	98.42518615722656	-6.405509948730469	2.0	687.1614161416142	273.0	K	LP-DIR-T:DE-TROUT	PD120a1	PD120a1
Fit 1	314.4734191894531	78.57140350341797	2.0	850.9117911791179	711.3498349834983	K	LP-DIR-T:DE-TROUT	PD120a1	PD120a1
Fit 2	98.42518615722656	-6.405509948730469	2.0	439.1866186618662	285.5872587258726	K	LP-DIR-T:DE-TROUT	PD123a2	PD123a2
Fit 1	314.4734191894531	78.57140350341797	2.0	789.8896889688968	576.8343834383438	K	LP-DIR-T:DE-TROUT	PD123a2	PD123a2
Fit 2	98.42518615722656	-6.405509948730469	2.0	782.2329232923292	437.2144214421442	K	LP-DIR-T:DE-TROUT	PD125b3	PD125b3
Fit 1	314.4734191894531	78.57140350341797	2.0	850.5637563756376	794.994199419942	K	LP-DIR-T:DE-TROUT	PD125b3	PD125b3
Fit 2	98.42518615722656	-6.405509948730469	2.0	716.6283628362836	482.63296329632965	K	LP-DIR-T:DE-TROUT	PD127a4	PD127a4
Fit 1	314.4734191894531	78.57140350341797	2.0	851.2598259825983	790.991799179918	K	LP-DIR-T:DE-TROUT	PD127a4	PD127a4
